,Date,Account,Other,Electric Vendor,Type,Category,Memo,Clear,Amount
,1/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-138.32
,2/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-143.81
,3/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-162.14
,4/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-138.42
,5/8/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-123.73
,6/6/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-111.47
,7/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-104.59
,8/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-118.37
,9/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-162.88
,10/4/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-166.34
,11/7/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-113.58
,12/5/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-131.46
,12/31/09,Yada Bank,,NH Electric,Electric,Utilities,,R,-139.35
,2/5/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-173.23
,3/6/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-150.92
,4/5/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-137.74
,5/4/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-120.50
,6/6/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-115.81
,7/2/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-139.41
,8/6/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-215.25
,9/6/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-244.64
,10/6/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-183.92
,11/7/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-139.22
,12/5/10,Yada Bank,,NH Electric,Electric,Utilities,,R,-123.53
,1/4/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-137.47
,2/5/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-176.22
,3/8/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-190.52
,4/5/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-147.63
,5/4/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-143.23
,6/5/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-116.06
,7/5/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-144.97
,8/10/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-180.42
,9/2/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-229.23
,10/5/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-161.37
,11/7/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-148.97
,12/9/11,Yada Bank,,NH Electric,Electric,Utilities,,R,-118.60
,1/4/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-147.57
,2/2/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-192.93
,3/2/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-165.33
,4/5/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-136.87
,5/6/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-141.82
,6/4/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-130.18
,7/5/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-130.30
,8/5/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-191.07
,9/7/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-209.11
,10/5/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-203.01
,11/5/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-130.85
,12/3/12,Yada Bank,,NH Electric,Electric,Utilities,,R,-117.45
,1/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-170.28
,2/4/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-175.04
,3/8/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-157.62
,4/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-160.04
,5/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-134.92
,6/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-136.21
,7/5/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-131.54
,8/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-184.84
,9/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-176.45
,10/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-152.50
,11/3/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-139.11
,12/7/13,Yada Bank,,NH Electric,Electric,Utilities,,R,-160.04
,1/5/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-228.71
,2/4/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-202.50
,3/5/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-219.10
,4/6/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-183.61
,5/1/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-192.21
,6/5/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-176.47
,7/3/14,Yada Bank,,Withdraw,NH UTIL PYMT 140702,Utilities,,R,-142.73
,8/4/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-187.37
,9/3/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-158.29
,10/3/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-177.00
,11/4/14,Yada Bank,,NH Electric,Electric,Utilities,,R,-149.41
,12/4/14,Yada Bank,,NH Electric,NH UTIL PYMT 141203,Utilities,,R,-219.50
,1/5/15,Yada Bank,,NH Electric,Electric,Utilities,,R,-211.88
,2/4/15,Yada Bank,,NH Electric,Electric,Utilities,,R,-228.87
,3/4/15,Yada Bank,,NH Utilities,Electric,Utilities,,R,-194.18
,4/3/15,Yada Bank,,NH Util,NH UTIL PYMT 150402,Utilities,,R,-186.74
,5/7/15,Yada Bank,,NH Electric,Electric,Utilities,,R,-275.48
,6/18/15,Yada Bank,,NH Util,NH UTIL PYMT 150617,Utilities,,R,-170.64
,7/21/15,Yada Bank,,NH Util,NH UTIL PYMT 150717,Utilities,,R,-159.81
,8/18/15,Yada Bank,,NH Util,NH UTIL PYMT 150817,Utilities,,R,-169.90
,9/20/15,Yada Bank,,NH Util,Electric,Utilities,,R,-215.94
,10/19/15,Yada Bank,,NH Util,NH UTIL PYMT 151016,Utilities,,R,-181.98
,11/18/15,Yada Bank,,NH Util,NH UTIL PYMT 151117,Utilities,,R,-148.80
,12/19/15,Yada Bank,,NH Util,electric,Utilities,,R,-138.15
,1/14/16,Yada Bank,,NH Util,electric,Utilities,,R,-161.31
,2/17/16,Yada Bank,,NH Util,NH UTIL PYMT 160216,Utilities,,R,-196.65
,3/18/16,Yada Bank,,NH Util,electric,Utilities,,R,-225.27
,4/18/16,Yada Bank,,NH Util,NH UTIL PYMT 160415,Utilities,,R,-209.95
,5/21/16,Yada Bank,,NH Util,electric,Utilities,,R,-194.27
,6/16/16,Yada Bank,,NH Util,electric,Utilities,,R,-160.97
,7/18/16,Yada Bank,,NH Util,NH UTIL PYMT 160715,Utilities,,R,-160.47
,8/17/16,Yada Bank,,NH Util,NH UTIL PYMT 160816,Utilities,,R,-230.77
,9/16/16,Yada Bank,,NH Util,NH UTIL PYMT 160915,Utilities,,R,-230.10
,10/18/16,Yada Bank,,NH Util,NH UTIL PYMT 161017,Utilities,,R,-183.06
,11/19/16,Yada Bank,,NH Util,electric,Utilities,,R,-168.64
,12/15/16,Yada Bank,,NH Util,NH UTIL PYMT 161214,Utilities,,R,-231.37
,1/13/17,Yada Bank,,NH Util,NH UTIL PYMT 170112,Utilities,,R,-215.69
,2/19/17,Yada Bank,,NH Util,electric,Utilities,,R,-247.53
,3/20/17,Yada Bank,,NH Util,electric,Utilities,,R,-184.08
,4/14/17,Yada Bank,,NH Util,NH UTIL PYMT 170413,Utilities,,R,-183.70
,5/19/17,Yada Bank,,NH Util,electric,Utilities,,R,-213.75
,6/14/17,Yada Bank,,NH Util,NH UTIL PYMT 170613,Utilities,,R,-184.08
,7/17/17,Yada Bank,,NH Util,NH UTIL PYMT 170714,Utilities,,R,-198.45
,8/19/17,Yada Bank,,NH Util,electric,Utilities,,R,-230.25
,9/15/17,Yada Bank,,NH Util,NH UTIL PYMT 170914,Utilities,,R,-181.37
,10/17/17,Yada Bank,,NH Util,NH UTIL PYMT 171016,Utilities,,R,-147.07
,11/15/17,Yada Bank,,NH Util,NH UTIL PYMT 171114,Utilities,,R,-150.60
,12/14/17,Yada Bank,,NH Web Pay,NH WEB_PAY DEC 17,Utilities,,R,-237.68
,1/17/18,Yada Bank,,NH Web Pay,NH WEB_PAY JAN 18,Utilities,,R,-266.39
,2/15/18,Yada Bank,,NH Web Pay,NH WEB_PAY FEB 18,Utilities,,R,-209.33
,3/19/18,Yada Bank,,NH Web Pay,NH WEB_PAY MAR 18,Utilities,,R,-226.45
,4/17/18,Yada Bank,,NH Web Pay,NH WEB_PAY APR 18,Utilities,,R,-236.45
,5/18/18,Yada Bank,,NH Web Pay,NH WEB_PAY MAY 18,Utilities,,R,-208.97
,6/15/18,Yada Bank,,NH Web Pay,NH WEB_PAY JUN 18,Utilities,,R,-130.97
,7/17/18,Yada Bank,,NH Web Pay,NH WEB_PAY JUL 18,Utilities,,R,-147.10
,8/16/18,Yada Bank,,NH Web Pay,NH WEB_PAY AUG 18,Utilities,,R,-220.23
,9/14/18,Yada Bank,,NH Web Pay,NH WEB_PAY SEP 18,Utilities,,R,-185.10
,10/17/18,Yada Bank,,NH Util,electric,Utilities,,R,-182.76
,11/15/18,Yada Bank,,NH Web Pay,NH WEB_PAY NOV 18,Utilities,,R,-175.30
,12/18/18,Yada Bank,,NH Web Pay,NH WEB_PAY DEC 18,Utilities,,R,-228.35
,1/17/19,Yada Bank,,NH Web Pay,NH WEB_PAY JAN 19,Utilities,,R,-231.45
,2/15/19,Yada Bank,,NH Web Pay,NH WEB_PAY FEB 19,Utilities,,R,-220.92
,3/19/19,Yada Bank,,NH Web Pay,NH WEB_PAY MAR 19,Utilities,,R,-218.19
,4/16/19,Yada Bank,,NH Web Pay,NH WEB_PAY APR 19,Utilities,,R,-209.25
,5/17/19,Yada Bank,,NH Web Pay,NH WEB_PAY MAY 19,Utilities,,R,-203.43
,6/17/19,Yada Bank,,NH Web Pay,NH WEB_PAY JUN 19,Utilities,,R,-210.70
,7/17/19,Yada Bank,,NH Web Pay,NH WEB_PAY JUL 19,Utilities,,R,-148.44
,8/16/19,Yada Bank,,NH Web Pay,NH WEB_PAY AUG 19,Utilities,,R,-219.40
,9/17/19,Yada Bank,,NH Util,electric,Utilities,,R,-215.72
,10/17/19,Yada Bank,,NH Web Pay,NH WEB_PAY OCT 19,Utilities,,R,-135.16
,11/15/19,Yada Bank,,NH Util,electric,Utilities,,R,-174.76
,12/16/19,Yada Bank,,NH Web Pay,NH WEB_PAY DEC 19,Utilities,,R,-202.55
,1/17/20,Yada Bank,,NH Web Pay,NH WEB_PAY JAN 20,Utilities,,R,-224.24
,2/18/20,Yada Bank,,NH Web Pay,NH WEB_PAY FEB 20,Utilities,,R,-190.38
,3/18/20,Yada Bank,,NH Web Pay,NH WEB_PAY MAR 20,Utilities,,R,-174.49
,4/16/20,Yada Bank,,NH Web Pay,NH WEB_PAY APR 20,Utilities,,R,-169.02
,5/18/20,Yada Bank,,NH Web Pay,NH WEB_PAY MAY 20,Utilities,,R,-153.89
,6/17/20,Yada Bank,,NH Web Pay,NH WEB_PAY JUN 20,Utilities,,R,-157.58
,7/16/20,Yada Bank,,NH Web Pay,NH WEB_PAY JUL 20,Utilities,,R,-170.37
,8/21/20,Yada Bank,,NH Util,electric,Utilities,,R,-224.52
,9/16/20,Yada Bank,,NH Web Pay,NH WEB_PAY SEP 20,Utilities,,R,-215.79
,10/16/20,Yada Bank,,NH Util,electric,Utilities,,R,-129.78
,11/20/20,Yada Bank,,NH Util,electric,Utilities,,R,-157.03
,12/16/20,Yada Bank,,NH Web Pay,NH WEB_PAY DEC 20,Utilities,,R,-199.77
,12/21/20,Yada Bank,,NH Util,electric,Utilities,,,-225.00
