,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2017,2017-2018,2018-2019,2019-2020,2019-2020,,,,,,,,,
Oct,0.0,117.1,167.9,0.0,0.0,161.5,0.0,121.6,,88.9,,,,68.00,,,,,,,,,,,,,,,,
Nov,0.0,0.0,0.0,186.7,188.3,136.1,108.9,,133.5,,135.9,139.9,117.5,,,174.6,,98.9,128.70,154.60,161.63,,,,,,,,,
Dec,0.0,128.1,174.9,218.2,227.1,172.8,151.8,254.5,178.1,370.6,190.5,185.3,215.0,210.70,221.3,,,177,191.00,197.00,292.6,,,,,,,,,
Jan,354.0,354.0,435.2,212.8,382.7,220.2,193.7,294.4,196.4,151.0,322.0,192.4,238.0,197.70,244.1,359.3,202.6,99.2,228.40,242.40,,,,,,,,,,
Feb,169.9,169.9,205.2,186.6,0.0,129.6,184.6,160.2,320.4,140.9,157.7,161.2,311.5,195.00,174.1,,176.6,113.9,225.20,142.00,,,,,,,,,,
Mar,164.8,164.8,179.4,153.9,185.5,148.9,199.3,193.9,145.9,133.5,134.9,,160.6,196.00,,194.8,,88.9,140.70,,,,,,,,,,,
Apr,159.8,134.4,161.1,176.4,,123.1,183.6,,,,149.3,172.5,,,100,,186.2,178.7,173.00,,,,,,,,,,,
May,0.0,0.0,0.0,176.7,168.2,,,188.0,,160.8,,,106.6,,,,,,,,,,,,,,,,,
Jun,0.0,0.0,0.0,,157.4,,,,127.4,,,,,,,,,,,,,,,,,,,,,
Jul,0.0,0.0,0.0,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,116.9,157.0,0.0,,,,,,,74.9,,,,,,,,,,,,,,,,,,,,
Sep,0.0,0.0,171.2,,,199.2,199.5,60,,,88.6,,,201.80,146.7,182.8,,66.4,76.90,,,,,,,,,,,
